Year,VAR,Variable,Country,Unit,PowerCode,Value
2000,PUBNOTR,Connected to a wastewater treatment plant without treatment,Japan,Percentage,Units,0.0
2005,PUBNOTR,Connected to a wastewater treatment plant without treatment,Japan,Percentage,Units,0.0
2010,PUBNOTR,Connected to a wastewater treatment plant without treatment,Japan,Percentage,Units,0.0
2011,PUBNOTR,Connected to a wastewater treatment plant without treatment,Japan,Percentage,Units,0.0
2012,PUBNOTR,Connected to a wastewater treatment plant without treatment,Japan,Percentage,Units,0.0
2013,PUBNOTR,Connected to a wastewater treatment plant without treatment,Japan,Percentage,Units,0.0
2014,PUBNOTR,Connected to a wastewater treatment plant without treatment,Japan,Percentage,Units,0.0
2015,PUBNOTR,Connected to a wastewater treatment plant without treatment,Japan,Percentage,Units,0.0
2016,PUBNOTR,Connected to a wastewater treatment plant without treatment,Japan,Percentage,Units,0.0
2000,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovenia,Percentage,Units,71.42000122
2005,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovenia,Percentage,Units,85.12000122
2010,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovenia,Percentage,Units,86.93166351
2011,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovenia,Percentage,Units,89.59101868
2012,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovenia,Percentage,Units,88.91999817
2013,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovenia,Percentage,Units,90.31999969
2014,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovenia,Percentage,Units,90.51999664
2015,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovenia,Percentage,Units,91.72000122
2016,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovenia,Percentage,Units,92.0
2017,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovenia,Percentage,Units,95.7
1980,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,34.59999847
2000,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,2.4
2005,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,2.4
2010,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,2.4
2011,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,2.4
2012,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,0.0
2013,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,0.0
2014,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,0.0
2015,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,0.0
2016,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,0.0
2017,INDEPDTR,Population connected to independent treatment,Czech Republic,Percentage,Units,0.0
2000,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Iceland,Percentage,Units,39.0
2005,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Iceland,Percentage,Units,63.0
2010,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Iceland,Percentage,Units,73.0
1970,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,16.0
1980,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,30.0
2000,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,62.0
2005,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,69.25640106
2010,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,75.09999847
2011,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,75.80000305
2012,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,76.3
2013,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,77.0
2014,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,77.6
2015,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,77.8
2016,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Japan,Percentage,Units,78.3
1980,PUBADVTR,Tertiary treatment,England and Wales,Percentage,Units,25.0
2000,PUBADVTR,Tertiary treatment,England and Wales,Percentage,Units,27.0
2005,PUBADVTR,Tertiary treatment,England and Wales,Percentage,Units,42.9
2010,PUBADVTR,Tertiary treatment,England and Wales,Percentage,Units,49.9
2014,PUBADVTR,Tertiary treatment,England and Wales,Percentage,Units,56.9
1980,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,27.31999969
2000,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,50.5
2005,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,55.15999985
2010,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,58.93000031
2011,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,59.97999954
2012,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,61.02000046
2013,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,62.09
2014,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,63.69
2015,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,64.5
2016,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,65.83
2017,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovak Republic,Percentage,Units,67.2
2000,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Korea,Percentage,Units,100.0
2005,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Korea,Percentage,Units,100.0
2010,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Korea,Percentage,Units,100.0
2011,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Korea,Percentage,Units,100.0
2012,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Korea,Percentage,Units,100.0
2013,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Korea,Percentage,Units,100.0
2010,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Greece,Percentage,Units,87.4
2011,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Greece,Percentage,Units,88.2
2012,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Greece,Percentage,Units,92.03
2013,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Greece,Percentage,Units,92.83
2014,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Greece,Percentage,Units,92.83
2015,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Greece,Percentage,Units,93.4
2016,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Greece,Percentage,Units,93.44
2000,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Turkey,Percentage,Units,26.29999924
2005,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Turkey,Percentage,Units,42.09999847
2010,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Turkey,Percentage,Units,52.09999847
2012,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Turkey,Percentage,Units,58.29999924
2013,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Turkey,Percentage,Units,63.70000076
2014,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Turkey,Percentage,Units,64.0
2015,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Turkey,Percentage,Units,69.90000153
2016,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Turkey,Percentage,Units,70.69999695
1970,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,44.0
1980,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,72.40000153
2000,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,98.15000153
2005,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,99.0
2010,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,99.3
2011,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,99.4
2012,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,99.5
2013,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,99.4
2014,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,99.4
2015,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,99.4
2016,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,99.5
2017,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,Percentage,Units,99.5
2000,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Austria,Percentage,Units,100.0
2010,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Austria,Percentage,Units,100.0
2012,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Austria,Percentage,Units,100.0
2014,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Austria,Percentage,Units,100.0
2016,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Austria,Percentage,Units,100.0
1970,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,54.5
1980,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,64.2
2000,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,64.0
2005,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,73.0
2010,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,77.0
2011,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,78.2
2012,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,78.1
2013,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,80.0
2014,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,79.9
2015,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,80.8
2016,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,81.3
2017,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Czech Republic,Percentage,Units,82.4
1970,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Luxembourg,Percentage,Units,28.0
1980,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Luxembourg,Percentage,Units,81.0
2010,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Luxembourg,Percentage,Units,95.7
2011,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Luxembourg,Percentage,Units,95.0
2012,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Luxembourg,Percentage,Units,98.1
2013,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Luxembourg,Percentage,Units,98.2
2014,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Luxembourg,Percentage,Units,98.5
2015,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Luxembourg,Percentage,Units,98.5
2016,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Luxembourg,Percentage,Units,98.5
2017,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Luxembourg,Percentage,Units,98.6
1980,PUBNOTR,Connected to a wastewater treatment plant without treatment,England and Wales,Percentage,Units,13.0
2000,PUBNOTR,Connected to a wastewater treatment plant without treatment,England and Wales,Percentage,Units,2.0
2005,PUBNOTR,Connected to a wastewater treatment plant without treatment,England and Wales,Percentage,Units,0.0
2010,PUBNOTR,Connected to a wastewater treatment plant without treatment,England and Wales,Percentage,Units,0.4
2010,PUBNOTR,Connected to a wastewater treatment plant without treatment,Luxembourg,Percentage,Units,1.4
2011,PUBNOTR,Connected to a wastewater treatment plant without treatment,Luxembourg,Percentage,Units,4.0
2012,PUBNOTR,Connected to a wastewater treatment plant without treatment,Luxembourg,Percentage,Units,1.9
2013,PUBNOTR,Connected to a wastewater treatment plant without treatment,Luxembourg,Percentage,Units,1.8
2014,PUBNOTR,Connected to a wastewater treatment plant without treatment,Luxembourg,Percentage,Units,0.0
2015,PUBNOTR,Connected to a wastewater treatment plant without treatment,Luxembourg,Percentage,Units,0.0
2016,PUBNOTR,Connected to a wastewater treatment plant without treatment,Luxembourg,Percentage,Units,0.0
2017,PUBNOTR,Connected to a wastewater treatment plant without treatment,Luxembourg,Percentage,Units,1.4
1980,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Portugal,Percentage,Units,22.29999924
2005,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Portugal,Percentage,Units,70.0
2000,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Iceland,Percentage,Units,33.0
2005,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Iceland,Percentage,Units,57.0
2010,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Iceland,Percentage,Units,66.0
2005,PUBBIOTR,Secondary treatment,Chile,Percentage,Units,2.200000048
2010,PUBBIOTR,Secondary treatment,Chile,Percentage,Units,4.242800236
2011,PUBBIOTR,Secondary treatment,Chile,Percentage,Units,4.168799877
2012,PUBBIOTR,Secondary treatment,Chile,Percentage,Units,4.3
2013,PUBBIOTR,Secondary treatment,Chile,Percentage,Units,4.3
2014,PUBBIOTR,Secondary treatment,Chile,Percentage,Units,4.4
2015,PUBBIOTR,Secondary treatment,Chile,Percentage,Units,4.4
2016,PUBBIOTR,Secondary treatment,Chile,Percentage,Units,4.57
2017,PUBBIOTR,Secondary treatment,Chile,Percentage,Units,4.92
1970,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,36.0
1980,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,54.0
2000,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,94.09999847
2005,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,95.74
2010,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,97.4
2011,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,97.5
2012,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,97.7
2013,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,97.6
2014,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,97.5
2015,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,98.9
2016,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,99.4
2017,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Norway,Percentage,Units,98.9
2005,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Germany,Percentage,Units,97.3
2010,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Germany,Percentage,Units,99.30000305
2011,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Germany,Percentage,Units,99.40000153
2012,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Germany,Percentage,Units,99.40000153
2013,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Germany,Percentage,Units,99.30000305
2014,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Germany,Percentage,Units,99.40000153
2015,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Germany,Percentage,Units,99.30000305
2016,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Germany,Percentage,Units,99.19999695
2000,INDEPDTR,Population connected to independent treatment,Turkey,Percentage,Units,0.0
2005,INDEPDTR,Population connected to independent treatment,Turkey,Percentage,Units,0.0
2010,INDEPDTR,Population connected to independent treatment,Turkey,Percentage,Units,0.0
2012,INDEPDTR,Population connected to independent treatment,Turkey,Percentage,Units,0.0
2013,INDEPDTR,Population connected to independent treatment,Turkey,Percentage,Units,0.0
2014,INDEPDTR,Population connected to independent treatment,Turkey,Percentage,Units,0.0
2015,INDEPDTR,Population connected to independent treatment,Turkey,Percentage,Units,0.0
2016,INDEPDTR,Population connected to independent treatment,Turkey,Percentage,Units,0.0
1970,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Finland,Percentage,Units,27.0
1980,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Finland,Percentage,Units,65.0
2000,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Finland,Percentage,Units,80.0
2010,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Finland,Percentage,Units,83.0
2011,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Finland,Percentage,Units,83.0
2012,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Finland,Percentage,Units,83.0
2013,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Finland,Percentage,Units,83.0
2014,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Finland,Percentage,Units,85.0
2011,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Ireland,Percentage,Units,96.0
2012,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Ireland,Percentage,Units,92.9
2013,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Ireland,Percentage,Units,92.33000183
2014,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Ireland,Percentage,Units,92.73000336
2015,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Ireland,Percentage,Units,93.33000183
2016,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Ireland,Percentage,Units,95.2
2017,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Ireland,Percentage,Units,93.7
1970,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,21.0
1980,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,34.0
2000,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,74.1
2005,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,78.6
2010,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,81.1
2011,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,81.3
2012,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,81.7
2013,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,81.9
2014,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,82.2
2015,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,83.8
2016,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,84.2
2017,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Norway,Percentage,Units,84.1
2000,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,Percentage,Units,70.0
2005,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,Percentage,Units,79.0
2010,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,Percentage,Units,86.59999847
2011,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,Percentage,Units,86.69999695
2012,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,Percentage,Units,86.69999695
2013,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,Percentage,Units,87.23999786
2014,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,Percentage,Units,87.37999725
2015,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,Percentage,Units,87.59999847
2016,TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,Percentage,Units,87.80000305
1980,PUBMECTR,Primary treatment,England and Wales,Percentage,Units,6.0
2000,PUBMECTR,Primary treatment,England and Wales,Percentage,Units,3.599999905
2005,PUBMECTR,Primary treatment,England and Wales,Percentage,Units,0.1
2010,PUBMECTR,Primary treatment,England and Wales,Percentage,Units,0.0
2014,PUBMECTR,Primary treatment,England and Wales,Percentage,Units,0.1
1970,INDEPDTR,Population connected to independent treatment,Portugal,Percentage,Units,17.0
1980,INDEPDTR,Population connected to independent treatment,Portugal,Percentage,Units,20.0
2005,INDEPDTR,Population connected to independent treatment,Portugal,Percentage,Units,5.0
1970,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Austria,Percentage,Units,17.0
1980,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Austria,Percentage,Units,38.0
2000,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Austria,Percentage,Units,85.4
2010,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Austria,Percentage,Units,93.86269379
2012,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Austria,Percentage,Units,94.5
2014,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Austria,Percentage,Units,94.96761048
2016,PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Austria,Percentage,Units,95.2
1970,PUBMECTR,Primary treatment,Japan,Percentage,Units,0.0
1980,PUBMECTR,Primary treatment,Japan,Percentage,Units,0.0
