IUCN Category,Species,Country,Unit,PowerCode,Value
Number of endangered indigenous species,Vascular plants,Austria,Number,Units,348
Number of critically endangered indigenous species,Vascular plants,Austria,Number,Units,172
Number of vulnerable indigenous species,Vascular plants,Austria,Number,Units,465
Total number of known species,Vascular plants,Belgium,Number,Units,1818
Total number of indigenous known species,Vascular plants,Belgium,Number,Units,1438
Number of endangered species,Vascular plants,Belgium,Number,Units,107
Number of critically endangered species,Vascular plants,Belgium,Number,Units,253
Number of vulnerable species,Vascular plants,Belgium,Number,Units,63
Total number of threatened species,Vascular plants,Belgium,Number,Units,423
Number of endangered indigenous species,Vascular plants,Belgium,Number,Units,107
Number of critically endangered indigenous species,Vascular plants,Belgium,Number,Units,253
Number of vulnerable indigenous species,Vascular plants,Belgium,Number,Units,63
Total number of known species,Vascular plants,Canada,Number,Units,5185
Total number of indigenous known species,Vascular plants,Canada,Number,Units,3870
Number of endangered species,Vascular plants,Canada,Number,Units,325
Number of vulnerable species,Vascular plants,Canada,Number,Units,467
Total number of threatened species,Vascular plants,Canada,Number,Units,1107
Number of endangered indigenous species,Vascular plants,Canada,Number,Units,325
Number of vulnerable indigenous species,Vascular plants,Canada,Number,Units,467
Total number of known species,Vascular plants,Czech Republic,Number,Units,3557
Total number of indigenous known species,Vascular plants,Czech Republic,Number,Units,2256
Number of endangered species,Vascular plants,Czech Republic,Number,Units,412
Number of critically endangered species,Vascular plants,Czech Republic,Number,Units,284
Number of vulnerable species,Vascular plants,Czech Republic,Number,Units,212
Total number of threatened species,Vascular plants,Czech Republic,Number,Units,908
Total number of known species,Vascular plants,Denmark,Number,Units,2909
Total number of indigenous known species,Vascular plants,Denmark,Number,Units,1200
Number of endangered species,Vascular plants,Denmark,Number,Units,36
Number of critically endangered species,Vascular plants,Denmark,Number,Units,24
Number of vulnerable species,Vascular plants,Denmark,Number,Units,57
Total number of threatened species,Vascular plants,Denmark,Number,Units,117
Number of endangered indigenous species,Vascular plants,Denmark,Number,Units,36
Number of critically endangered indigenous species,Vascular plants,Denmark,Number,Units,24
Number of vulnerable indigenous species,Vascular plants,Denmark,Number,Units,57
Total number of known species,Vascular plants,Finland,Number,Units,1240
Total number of indigenous known species,Vascular plants,Finland,Number,Units,920
Number of endangered species,Vascular plants,Finland,Number,Units,88
Number of critically endangered species,Vascular plants,Finland,Number,Units,31
Number of vulnerable species,Vascular plants,Finland,Number,Units,78
Total number of threatened species,Vascular plants,Finland,Number,Units,197
Number of endangered indigenous species,Vascular plants,Finland,Number,Units,88
Number of critically endangered indigenous species,Vascular plants,Finland,Number,Units,31
Number of vulnerable indigenous species,Vascular plants,Finland,Number,Units,78
Total number of known species,Vascular plants,France,Number,Units,1018
Number of endangered species,Vascular plants,France,Number,Units,111
Number of vulnerable species,Vascular plants,France,Number,Units,368
Total number of threatened species,Vascular plants,France,Number,Units,528
Total number of known species,Vascular plants,Germany,Number,Units,3272
Total number of indigenous known species,Vascular plants,Germany,Number,Units,2954
Number of endangered species,Vascular plants,Germany,Number,Units,273
Number of critically endangered species,Vascular plants,Germany,Number,Units,118
Number of vulnerable species,Vascular plants,Germany,Number,Units,505
Total number of threatened species,Vascular plants,Germany,Number,Units,896
Number of endangered indigenous species,Vascular plants,Germany,Number,Units,273
Number of critically endangered indigenous species,Vascular plants,Germany,Number,Units,118
Number of vulnerable indigenous species,Vascular plants,Germany,Number,Units,505
Total number of known species,Vascular plants,Greece,Number,Units,5850
Total number of indigenous known species,Vascular plants,Greece,Number,Units,5700
Number of endangered species,Vascular plants,Greece,Number,Units,64
Number of critically endangered species,Vascular plants,Greece,Number,Units,17
Number of vulnerable species,Vascular plants,Greece,Number,Units,174
Total number of threatened species,Vascular plants,Greece,Number,Units,255
Total number of known species,Vascular plants,Hungary,Number,Units,2721
Total number of indigenous known species,Vascular plants,Hungary,Number,Units,2433
Number of endangered species,Vascular plants,Hungary,Number,Units,162
Number of vulnerable species,Vascular plants,Hungary,Number,Units,105
Total number of threatened species,Vascular plants,Hungary,Number,Units,382
Number of endangered indigenous species,Vascular plants,Hungary,Number,Units,162
Number of vulnerable indigenous species,Vascular plants,Hungary,Number,Units,105
Total number of known species,Vascular plants,Iceland,Number,Units,438
Total number of threatened species,Vascular plants,Iceland,Number,Units,52
Total number of known species,Vascular plants,Ireland,Number,Units,1050
Total number of indigenous known species,Vascular plants,Ireland,Number,Units,1050
Number of endangered species,Vascular plants,Ireland,Number,Units,25
Number of critically endangered species,Vascular plants,Ireland,Number,Units,20
Number of vulnerable species,Vascular plants,Ireland,Number,Units,56
Total number of threatened species,Vascular plants,Ireland,Number,Units,101
Number of endangered indigenous species,Vascular plants,Ireland,Number,Units,25
Number of critically endangered indigenous species,Vascular plants,Ireland,Number,Units,20
Number of vulnerable indigenous species,Vascular plants,Ireland,Number,Units,56
Total number of known species,Vascular plants,Italy,Number,Units,8195
Number of endangered species,Vascular plants,Italy,Number,Units,149
Number of critically endangered species,Vascular plants,Italy,Number,Units,128
Number of vulnerable species,Vascular plants,Italy,Number,Units,276
Total number of threatened species,Vascular plants,Italy,Number,Units,553
Total number of known species,Vascular plants,Japan,Number,Units,7000
Number of endangered species,Vascular plants,Japan,Number,Units,520
Number of critically endangered species,Vascular plants,Japan,Number,Units,525
Number of vulnerable species,Vascular plants,Japan,Number,Units,741
Total number of threatened species,Vascular plants,Japan,Number,Units,1786
Total number of known species,Vascular plants,Korea,Number,Units,4518
Number of endangered species,Vascular plants,Korea,Number,Units,86
Number of critically endangered species,Vascular plants,Korea,Number,Units,28
Number of vulnerable species,Vascular plants,Korea,Number,Units,110
Total number of threatened species,Vascular plants,Korea,Number,Units,224
Total number of known species,Vascular plants,Luxembourg,Number,Units,1323
Total number of indigenous known species,Vascular plants,Luxembourg,Number,Units,1205
Number of endangered species,Vascular plants,Luxembourg,Number,Units,124
Number of critically endangered species,Vascular plants,Luxembourg,Number,Units,121
Number of vulnerable species,Vascular plants,Luxembourg,Number,Units,109
Total number of threatened species,Vascular plants,Luxembourg,Number,Units,354
Number of endangered indigenous species,Vascular plants,Luxembourg,Number,Units,124
Number of critically endangered indigenous species,Vascular plants,Luxembourg,Number,Units,121
Number of vulnerable indigenous species,Vascular plants,Luxembourg,Number,Units,109
Total number of known species,Vascular plants,Mexico,Number,Units,23296
Total number of indigenous known species,Vascular plants,Mexico,Number,Units,11551
Number of endangered species,Vascular plants,Mexico,Number,Units,175
Number of critically endangered species,Vascular plants,Mexico,Number,Units,6
Number of vulnerable species,Vascular plants,Mexico,Number,Units,329
Total number of threatened species,Vascular plants,Mexico,Number,Units,510
Number of endangered indigenous species,Vascular plants,Mexico,Number,Units,105
Number of critically endangered indigenous species,Vascular plants,Mexico,Number,Units,5
Number of vulnerable indigenous species,Vascular plants,Mexico,Number,Units,165
Total number of known species,Vascular plants,Netherlands,Number,Units,1395
Number of endangered species,Vascular plants,Netherlands,Number,Units,117
Number of critically endangered species,Vascular plants,Netherlands,Number,Units,71
Number of vulnerable species,Vascular plants,Netherlands,Number,Units,168
Total number of threatened species,Vascular plants,Netherlands,Number,Units,356
Total number of known species,Vascular plants,New Zealand,Number,Units,5038
Total number of indigenous known species,Vascular plants,New Zealand,Number,Units,2485
Number of endangered indigenous species,Vascular plants,New Zealand,Number,Units,64
Number of critically endangered indigenous species,Vascular plants,New Zealand,Number,Units,163
Number of vulnerable indigenous species,Vascular plants,New Zealand,Number,Units,101
Total number of known species,Vascular plants,Norway,Number,Units,3243
Total number of indigenous known species,Vascular plants,Norway,Number,Units,1357
Number of endangered species,Vascular plants,Norway,Number,Units,100
Number of critically endangered species,Vascular plants,Norway,Number,Units,35
Number of vulnerable species,Vascular plants,Norway,Number,Units,111
Total number of threatened species,Vascular plants,Norway,Number,Units,246
Number of endangered indigenous species,Vascular plants,Norway,Number,Units,100
Number of critically endangered indigenous species,Vascular plants,Norway,Number,Units,35
Number of vulnerable indigenous species,Vascular plants,Norway,Number,Units,111
Total number of known species,Vascular plants,Poland,Number,Units,3087
Total number of indigenous known species,Vascular plants,Poland,Number,Units,2534
Number of endangered species,Vascular plants,Poland,Number,Units,139
Number of critically endangered species,Vascular plants,Poland,Number,Units,123
Number of vulnerable species,Vascular plants,Poland,Number,Units,226
Total number of threatened species,Vascular plants,Poland,Number,Units,488
Number of endangered indigenous species,Vascular plants,Poland,Number,Units,123
Number of critically endangered indigenous species,Vascular plants,Poland,Number,Units,110
Number of vulnerable indigenous species,Vascular plants,Poland,Number,Units,195
Total number of known species,Vascular plants,Portugal,Number,Units,3607
Total number of indigenous known species,Vascular plants,Portugal,Number,Units,2927
Total number of known species,Vascular plants,Slovak Republic,Number,Units,3619
Number of endangered species,Vascular plants,Slovak Republic,Number,Units,171
Number of critically endangered species,Vascular plants,Slovak Republic,Number,Units,155
Number of vulnerable species,Vascular plants,Slovak Republic,Number,Units,201
Total number of threatened species,Vascular plants,Slovak Republic,Number,Units,527
Total number of known species,Vascular plants,Spain,Number,Units,7066
Number of endangered species,Vascular plants,Spain,Number,Units,278
Number of critically endangered species,Vascular plants,Spain,Number,Units,271
Number of vulnerable species,Vascular plants,Spain,Number,Units,714
Total number of threatened species,Vascular plants,Spain,Number,Units,1263
Number of endangered indigenous species,Vascular plants,Spain,Number,Units,278
Number of critically endangered indigenous species,Vascular plants,Spain,Number,Units,271
Number of vulnerable indigenous species,Vascular plants,Spain,Number,Units,714
Total number of known species,Vascular plants,Sweden,Number,Units,1561
Total number of indigenous known species,Vascular plants,Sweden,Number,Units,1561
Number of endangered species,Vascular plants,Sweden,Number,Units,114
Number of critically endangered species,Vascular plants,Sweden,Number,Units,43
Number of vulnerable species,Vascular plants,Sweden,Number,Units,113
Total number of threatened species,Vascular plants,Sweden,Number,Units,270
Total number of known species,Vascular plants,Switzerland,Number,Units,2613
Total number of indigenous known species,Vascular plants,Switzerland,Number,Units,2613
Number of endangered species,Vascular plants,Switzerland,Number,Units,197
Number of critically endangered species,Vascular plants,Switzerland,Number,Units,111
Number of vulnerable species,Vascular plants,Switzerland,Number,Units,362
Total number of threatened species,Vascular plants,Switzerland,Number,Units,670
Number of endangered indigenous species,Vascular plants,Switzerland,Number,Units,197
Number of critically endangered indigenous species,Vascular plants,Switzerland,Number,Units,111
Number of vulnerable indigenous species,Vascular plants,Switzerland,Number,Units,362
Total number of known species,Vascular plants,Turkey,Number,Units,11707
Total number of threatened species,Vascular plants,Turkey,Number,Units,1282
Total number of known species,Vascular plants,United Kingdom,Number,Units,4562
Number of endangered species,Vascular plants,United Kingdom,Number,Units,240
Number of critically endangered species,Vascular plants,United Kingdom,Number,Units,104
Number of vulnerable species,Vascular plants,United Kingdom,Number,Units,482
Total number of threatened species,Vascular plants,United Kingdom,Number,Units,826
Number of endangered indigenous species,Vascular plants,United Kingdom,Number,Units,240
Number of critically endangered indigenous species,Vascular plants,United Kingdom,Number,Units,104
Number of vulnerable indigenous species,Vascular plants,United Kingdom,Number,Units,482
Total number of known species,Vascular plants,United States,Number,Units,19569
Total number of indigenous known species,Vascular plants,United States,Number,Units,16279
Number of endangered species,Vascular plants,United States,Number,Units,1462
Number of critically endangered species,Vascular plants,United States,Number,Units,1222
Number of vulnerable species,Vascular plants,United States,Number,Units,2691
Total number of threatened species,Vascular plants,United States,Number,Units,5375
Number of endangered indigenous species,Vascular plants,United States,Number,Units,1461
Number of critically endangered indigenous species,Vascular plants,United States,Number,Units,1221
Number of vulnerable indigenous species,Vascular plants,United States,Number,Units,2684
Number of endangered species,Vascular plants,Chile,Number,Units,195
Number of vulnerable species,Vascular plants,Chile,Number,Units,152
Total number of threatened species,Vascular plants,Chile,Number,Units,418
Number of endangered indigenous species,Vascular plants,Chile,Number,Units,195
Number of vulnerable indigenous species,Vascular plants,Chile,Number,Units,152
Total number of known species,Vascular plants,Estonia,Number,Units,1928
Total number of indigenous known species,Vascular plants,Estonia,Number,Units,1335
Number of endangered species,Vascular plants,Estonia,Number,Units,59
Number of critically endangered species,Vascular plants,Estonia,Number,Units,31
Number of vulnerable species,Vascular plants,Estonia,Number,Units,91
Total number of threatened species,Vascular plants,Estonia,Number,Units,181
Number of endangered indigenous species,Vascular plants,Estonia,Number,Units,57
Number of critically endangered indigenous species,Vascular plants,Estonia,Number,Units,31
Number of vulnerable indigenous species,Vascular plants,Estonia,Number,Units,90
Total number of indigenous known species,Vascular plants,Israel,Number,Units,2288
Number of endangered indigenous species,Vascular plants,Israel,Number,Units,117
Number of critically endangered indigenous species,Vascular plants,Israel,Number,Units,62
Number of vulnerable indigenous species,Vascular plants,Israel,Number,Units,198
Total number of known species,Vascular plants,Russia,Number,Units,11400
Total number of threatened species,Vascular plants,Russia,Number,Units,201
Total number of known species,Vascular plants,Slovenia,Number,Units,3452
Total number of indigenous known species,Vascular plants,Slovenia,Number,Units,3119
Number of endangered species,Vascular plants,Slovenia,Number,Units,80
Number of vulnerable species,Vascular plants,Slovenia,Number,Units,254
Total number of threatened species,Vascular plants,Slovenia,Number,Units,334
Number of endangered indigenous species,Vascular plants,Slovenia,Number,Units,80
Number of vulnerable indigenous species,Vascular plants,Slovenia,Number,Units,254
Total number of known species,Fish,Australia,Number,Units,5203
Number of endangered species,Fish,Australia,Number,Units,16
Number of endangered species,Marine Fish,Australia,Number,Units,2
Number of endangered species,Freshwater Fish,Australia,Number,Units,14
Number of critically endangered species,Fish,Australia,Number,Units,8
Number of critically endangered species,Marine Fish,Australia,Number,Units,3
Number of critically endangered species,Freshwater Fish,Australia,Number,Units,5
Number of vulnerable species,Fish,Australia,Number,Units,24
Number of vulnerable species,Marine Fish,Australia,Number,Units,8
Number of vulnerable species,Freshwater Fish,Australia,Number,Units,16
Total number of threatened species,Fish,Australia,Number,Units,48
Total number of threatened species,Marine Fish,Australia,Number,Units,13
Total number of threatened species,Freshwater Fish,Australia,Number,Units,35
Threatened species as % of known species,Mammals,Australia,Percentage,Units,27.114
Threatened species as % of known species,Birds,Australia,Percentage,Units,16.835
Threatened species as % of known species,Reptiles,Australia,Percentage,Units,5.951
Threatened species as % of known species,Amphibians,Australia,Percentage,Units,11.983
Threatened species as % of known species,Vascular plants,Australia,Percentage,Units,6.58
Threatened species as % of known species,Fish,Australia,Percentage,Units,0.923
Total number of known species,Fish,Austria,Number,Units,84
Total number of known species,Freshwater Fish,Austria,Number,Units,84
Total number of indigenous known species,Fish,Austria,Number,Units,84
Total number of indigenous known species,Freshwater Fish,Austria,Number,Units,84
Number of endangered species,Fish,Austria,Number,Units,18
Number of endangered species,Freshwater Fish,Austria,Number,Units,18
Number of critically endangered species,Fish,Austria,Number,Units,6
Number of critically endangered species,Freshwater Fish,Austria,Number,Units,6
Number of vulnerable species,Fish,Austria,Number,Units,15
Number of vulnerable species,Freshwater Fish,Austria,Number,Units,15
Total number of threatened species,Fish,Austria,Number,Units,39
Total number of threatened species,Freshwater Fish,Austria,Number,Units,39
Number of endangered indigenous species,Fish,Austria,Number,Units,18
Number of endangered indigenous species,Freshwater Fish,Austria,Number,Units,18
Number of critically endangered indigenous species,Fish,Austria,Number,Units,6
Number of critically endangered indigenous species,Freshwater Fish,Austria,Number,Units,6
Number of vulnerable indigenous species,Fish,Austria,Number,Units,15
Number of vulnerable indigenous species,Freshwater Fish,Austria,Number,Units,15
Total number of indigenous threatened species,Mammals,Austria,Number,Units,27
Total number of indigenous threatened species,Birds,Austria,Number,Units,66
Total number of indigenous threatened species,Reptiles,Austria,Number,Units,9
Total number of indigenous threatened species,Amphibians,Austria,Number,Units,12
Total number of indigenous threatened species,Vascular plants,Austria,Number,Units,985
Total number of indigenous threatened species,Fish,Austria,Number,Units,39
Total number of indigenous threatened species,Freshwater Fish,Austria,Number,Units,39
Threatened species as % of known species,Mammals,Austria,Percentage,Units,26.733
Threatened species as % of known species,Birds,Austria,Percentage,Units,27.273
Threatened species as % of known species,Reptiles,Austria,Percentage,Units,64.286
Threatened species as % of known species,Amphibians,Austria,Percentage,Units,60
Threatened species as % of known species,Vascular plants,Austria,Percentage,Units,33.39
Threatened species as % of known species,Fish,Austria,Percentage,Units,46.429
Threatened species as % of known species,Freshwater Fish,Austria,Percentage,Units,46.429
Threatened indigenous species as % of indigenous spec.,Mammals,Austria,Percentage,Units,26.733
Threatened indigenous species as % of indigenous spec.,Birds,Austria,Percentage,Units,27.273
Threatened indigenous species as % of indigenous spec.,Reptiles,Austria,Percentage,Units,64.286
Threatened indigenous species as % of indigenous spec.,Amphibians,Austria,Percentage,Units,60
Threatened indigenous species as % of indigenous spec.,Vascular plants,Austria,Percentage,Units,33.39
Threatened indigenous species as % of indigenous spec.,Fish,Austria,Percentage,Units,46.429
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Austria,Percentage,Units,46.429
Total number of known species,Fish,Belgium,Number,Units,142
Total number of known species,Marine Fish,Belgium,Number,Units,99
Total number of known species,Freshwater Fish,Belgium,Number,Units,43
Total number of indigenous known species,Fish,Belgium,Number,Units,123
Total number of indigenous known species,Marine Fish,Belgium,Number,Units,99
Total number of indigenous known species,Freshwater Fish,Belgium,Number,Units,24
Number of endangered species,Fish,Belgium,Number,Units,4
Number of endangered species,Marine Fish,Belgium,Number,Units,3
Number of endangered species,Freshwater Fish,Belgium,Number,Units,1
Number of critically endangered species,Fish,Belgium,Number,Units,3
Number of critically endangered species,Marine Fish,Belgium,Number,Units,2
Number of critically endangered species,Freshwater Fish,Belgium,Number,Units,1
Number of vulnerable species,Fish,Belgium,Number,Units,22
Number of vulnerable species,Marine Fish,Belgium,Number,Units,9
Number of vulnerable species,Freshwater Fish,Belgium,Number,Units,13
Total number of threatened species,Fish,Belgium,Number,Units,29
Total number of threatened species,Marine Fish,Belgium,Number,Units,14
Total number of threatened species,Freshwater Fish,Belgium,Number,Units,15
Number of endangered indigenous species,Fish,Belgium,Number,Units,4
Number of endangered indigenous species,Marine Fish,Belgium,Number,Units,3
Number of endangered indigenous species,Freshwater Fish,Belgium,Number,Units,1
Number of critically endangered indigenous species,Fish,Belgium,Number,Units,3
Number of critically endangered indigenous species,Marine Fish,Belgium,Number,Units,2
Number of critically endangered indigenous species,Freshwater Fish,Belgium,Number,Units,1
Number of vulnerable indigenous species,Fish,Belgium,Number,Units,22
Number of vulnerable indigenous species,Marine Fish,Belgium,Number,Units,9
Number of vulnerable indigenous species,Freshwater Fish,Belgium,Number,Units,13
Total number of indigenous threatened species,Mammals,Belgium,Number,Units,18
Total number of indigenous threatened species,Birds,Belgium,Number,Units,55
Total number of indigenous threatened species,Reptiles,Belgium,Number,Units,4
Total number of indigenous threatened species,Amphibians,Belgium,Number,Units,6
Total number of indigenous threatened species,Vascular plants,Belgium,Number,Units,423
Total number of indigenous threatened species,Fish,Belgium,Number,Units,29
Total number of indigenous threatened species,Marine Fish,Belgium,Number,Units,14
Total number of indigenous threatened species,Freshwater Fish,Belgium,Number,Units,15
Threatened species as % of known species,Mammals,Belgium,Percentage,Units,21.429
Threatened species as % of known species,Birds,Belgium,Percentage,Units,27.778
Threatened species as % of known species,Reptiles,Belgium,Percentage,Units,40
Threatened species as % of known species,Amphibians,Belgium,Percentage,Units,31.579
Threatened species as % of known species,Vascular plants,Belgium,Percentage,Units,23.267
Threatened species as % of known species,Fish,Belgium,Percentage,Units,20.423
Threatened species as % of known species,Marine Fish,Belgium,Percentage,Units,14.141
Threatened species as % of known species,Freshwater Fish,Belgium,Percentage,Units,34.884
Threatened indigenous species as % of indigenous spec.,Mammals,Belgium,Percentage,Units,27.692
Threatened indigenous species as % of indigenous spec.,Birds,Belgium,Percentage,Units,30.899
Threatened indigenous species as % of indigenous spec.,Reptiles,Belgium,Percentage,Units,57.143
Threatened indigenous species as % of indigenous spec.,Amphibians,Belgium,Percentage,Units,37.5
Threatened indigenous species as % of indigenous spec.,Vascular plants,Belgium,Percentage,Units,29.416
Threatened indigenous species as % of indigenous spec.,Fish,Belgium,Percentage,Units,23.577
Threatened indigenous species as % of indigenous spec.,Marine Fish,Belgium,Percentage,Units,14.141
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Belgium,Percentage,Units,62.5
Total number of known species,Fish,Canada,Number,Units,1376
Total number of known species,Marine Fish,Canada,Number,Units,1211
Total number of known species,Freshwater Fish,Canada,Number,Units,165
Total number of indigenous known species,Fish,Canada,Number,Units,1361
Total number of indigenous known species,Marine Fish,Canada,Number,Units,1211
Total number of indigenous known species,Freshwater Fish,Canada,Number,Units,150
Number of endangered species,Fish,Canada,Number,Units,25
Number of endangered species,Marine Fish,Canada,Number,Units,11
Number of endangered species,Freshwater Fish,Canada,Number,Units,14
Number of critically endangered species,Mammals,Canada,Number,Units,11
Number of critically endangered species,Birds,Canada,Number,Units,26
Number of critically endangered species,Reptiles,Canada,Number,Units,5
Number of critically endangered species,Amphibians,Canada,Number,Units,2
Number of critically endangered species,Vascular plants,Canada,Number,Units,315
Number of critically endangered species,Fish,Canada,Number,Units,9
Number of critically endangered species,Marine Fish,Canada,Number,Units,3
Number of critically endangered species,Freshwater Fish,Canada,Number,Units,6
Number of vulnerable species,Fish,Canada,Number,Units,54
Number of vulnerable species,Marine Fish,Canada,Number,Units,38
Number of vulnerable species,Freshwater Fish,Canada,Number,Units,16
Total number of threatened species,Fish,Canada,Number,Units,88
Total number of threatened species,Marine Fish,Canada,Number,Units,52
Total number of threatened species,Freshwater Fish,Canada,Number,Units,36
Number of endangered indigenous species,Fish,Canada,Number,Units,25
Number of endangered indigenous species,Marine Fish,Canada,Number,Units,11
Number of endangered indigenous species,Freshwater Fish,Canada,Number,Units,14
Number of critically endangered indigenous species,Mammals,Canada,Number,Units,11
Number of critically endangered indigenous species,Birds,Canada,Number,Units,26
Number of critically endangered indigenous species,Reptiles,Canada,Number,Units,5
Number of critically endangered indigenous species,Amphibians,Canada,Number,Units,2
Number of critically endangered indigenous species,Vascular plants,Canada,Number,Units,315
Number of critically endangered indigenous species,Fish,Canada,Number,Units,9
Number of critically endangered indigenous species,Marine Fish,Canada,Number,Units,3
Number of critically endangered indigenous species,Freshwater Fish,Canada,Number,Units,6
Number of vulnerable indigenous species,Fish,Canada,Number,Units,54
Number of vulnerable indigenous species,Marine Fish,Canada,Number,Units,38
Number of vulnerable indigenous species,Freshwater Fish,Canada,Number,Units,16
Total number of indigenous threatened species,Mammals,Canada,Number,Units,52
Total number of indigenous threatened species,Birds,Canada,Number,Units,88
Total number of indigenous threatened species,Reptiles,Canada,Number,Units,26
Total number of indigenous threatened species,Amphibians,Canada,Number,Units,16
Total number of indigenous threatened species,Vascular plants,Canada,Number,Units,1107
Total number of indigenous threatened species,Fish,Canada,Number,Units,88
Total number of indigenous threatened species,Marine Fish,Canada,Number,Units,52
Total number of indigenous threatened species,Freshwater Fish,Canada,Number,Units,36
Threatened species as % of known species,Mammals,Canada,Percentage,Units,23.529
Threatened species as % of known species,Birds,Canada,Percentage,Units,13.056
Threatened species as % of known species,Reptiles,Canada,Percentage,Units,57.778
Threatened species as % of known species,Amphibians,Canada,Percentage,Units,34.043
Threatened species as % of known species,Vascular plants,Canada,Percentage,Units,21.35
Threatened species as % of known species,Fish,Canada,Percentage,Units,6.395
Threatened species as % of known species,Marine Fish,Canada,Percentage,Units,4.294
Threatened species as % of known species,Freshwater Fish,Canada,Percentage,Units,21.818
Threatened indigenous species as % of indigenous spec.,Mammals,Canada,Percentage,Units,24.88
Threatened indigenous species as % of indigenous spec.,Birds,Canada,Percentage,Units,13.253
Threatened indigenous species as % of indigenous spec.,Reptiles,Canada,Percentage,Units,60.465
Threatened indigenous species as % of indigenous spec.,Amphibians,Canada,Percentage,Units,34.043
Threatened indigenous species as % of indigenous spec.,Vascular plants,Canada,Percentage,Units,28.605
Threatened indigenous species as % of indigenous spec.,Fish,Canada,Percentage,Units,6.466
Threatened indigenous species as % of indigenous spec.,Marine Fish,Canada,Percentage,Units,4.294
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Canada,Percentage,Units,24
Total number of known species,Fish,Czech Republic,Number,Units,65
Total number of known species,Freshwater Fish,Czech Republic,Number,Units,65
Total number of indigenous known species,Fish,Czech Republic,Number,Units,52
Total number of indigenous known species,Freshwater Fish,Czech Republic,Number,Units,52
Number of endangered species,Fish,Czech Republic,Number,Units,2
Number of endangered species,Freshwater Fish,Czech Republic,Number,Units,2
Number of critically endangered species,Fish,Czech Republic,Number,Units,15
Number of critically endangered species,Freshwater Fish,Czech Republic,Number,Units,15
Number of vulnerable species,Fish,Czech Republic,Number,Units,8
Number of vulnerable species,Freshwater Fish,Czech Republic,Number,Units,8
Total number of threatened species,Fish,Czech Republic,Number,Units,25
Total number of threatened species,Freshwater Fish,Czech Republic,Number,Units,25
Threatened species as % of known species,Mammals,Czech Republic,Percentage,Units,16.484
Threatened species as % of known species,Birds,Czech Republic,Percentage,Units,47.143
Threatened species as % of known species,Reptiles,Czech Republic,Percentage,Units,53.846
Threatened species as % of known species,Amphibians,Czech Republic,Percentage,Units,72.727
Threatened species as % of known species,Vascular plants,Czech Republic,Percentage,Units,25.527
Threatened species as % of known species,Fish,Czech Republic,Percentage,Units,38.462
Threatened species as % of known species,Freshwater Fish,Czech Republic,Percentage,Units,38.462
Total number of known species,Freshwater Fish,Denmark,Number,Units,55
Total number of indigenous known species,Freshwater Fish,Denmark,Number,Units,36
Number of critically endangered species,Freshwater Fish,Denmark,Number,Units,2
Number of vulnerable species,Freshwater Fish,Denmark,Number,Units,6
Total number of threatened species,Freshwater Fish,Denmark,Number,Units,8
Number of critically endangered indigenous species,Freshwater Fish,Denmark,Number,Units,2
Number of vulnerable indigenous species,Freshwater Fish,Denmark,Number,Units,6
Total number of indigenous threatened species,Mammals,Denmark,Number,Units,11
Total number of indigenous threatened species,Birds,Denmark,Number,Units,34
Total number of indigenous threatened species,Amphibians,Denmark,Number,Units,1
Total number of indigenous threatened species,Vascular plants,Denmark,Number,Units,117
Total number of indigenous threatened species,Freshwater Fish,Denmark,Number,Units,8
Threatened species as % of known species,Mammals,Denmark,Percentage,Units,16.418
Threatened species as % of known species,Birds,Denmark,Percentage,Units,16.268
Threatened species as % of known species,Amphibians,Denmark,Percentage,Units,6.667
Threatened species as % of known species,Vascular plants,Denmark,Percentage,Units,4.022
Threatened species as % of known species,Freshwater Fish,Denmark,Percentage,Units,14.545
Threatened indigenous species as % of indigenous spec.,Mammals,Denmark,Percentage,Units,18.966
Threatened indigenous species as % of indigenous spec.,Birds,Denmark,Percentage,Units,16.268
Threatened indigenous species as % of indigenous spec.,Amphibians,Denmark,Percentage,Units,6.667
Threatened indigenous species as % of indigenous spec.,Vascular plants,Denmark,Percentage,Units,9.75
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Denmark,Percentage,Units,22.222
Total number of known species,Freshwater Fish,Finland,Number,Units,69
Total number of indigenous known species,Freshwater Fish,Finland,Number,Units,69
Number of endangered species,Freshwater Fish,Finland,Number,Units,3
Number of critically endangered species,Freshwater Fish,Finland,Number,Units,4
Number of vulnerable species,Freshwater Fish,Finland,Number,Units,5
Total number of threatened species,Freshwater Fish,Finland,Number,Units,12
Number of endangered indigenous species,Freshwater Fish,Finland,Number,Units,3
Number of critically endangered indigenous species,Freshwater Fish,Finland,Number,Units,4
Number of vulnerable indigenous species,Freshwater Fish,Finland,Number,Units,5
Total number of indigenous threatened species,Mammals,Finland,Number,Units,7
Total number of indigenous threatened species,Birds,Finland,Number,Units,87
Total number of indigenous threatened species,Reptiles,Finland,Number,Units,1
Total number of indigenous threatened species,Amphibians,Finland,Number,Units,1
Total number of indigenous threatened species,Vascular plants,Finland,Number,Units,197
Total number of indigenous threatened species,Freshwater Fish,Finland,Number,Units,12
Threatened species as % of known species,Mammals,Finland,Percentage,Units,9.333
Threatened species as % of known species,Birds,Finland,Percentage,Units,35.081
Threatened species as % of known species,Reptiles,Finland,Percentage,Units,20
