Year,Country,VAR,Variable,Unit Code,Unit,PowerCode,Value
2012,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4883.3
2013,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4905.2
2014,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4832.5
2015,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4836.0
2016,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4928.4
2017,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,5017.6
2000,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3246.0
2001,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3234.0
2002,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3309.0
2003,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3327.0
2004,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3418.7
2005,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3463.7
2006,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3677.7
2007,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3728.0
2008,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3786.0
2009,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3895.0
2010,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3788.5
2011,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3947.2
2012,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,4020.3
2013,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,4031.7
2014,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,4170.2
2015,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,4160.0
2016,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,4269.0
2017,Austria,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,4322.0
2000,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1074.8
2001,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1075.0
2002,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1280.0
2003,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1280.0
2004,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1268.0
