Year,Country,Pollutant,Value
2000,Australia,Sulphur Oxides,2343.287
2001,Australia,Sulphur Oxides,2585.104
2002,Australia,Sulphur Oxides,2775.525
2003,Australia,Sulphur Oxides,2775.016
2004,Australia,Sulphur Oxides,2512.628
2005,Australia,Sulphur Oxides,2520.313
2006,Australia,Sulphur Oxides,2482.62
2007,Australia,Sulphur Oxides,2444.895
2008,Australia,Sulphur Oxides,2512.441
2009,Australia,Sulphur Oxides,2599.968
2010,Australia,Sulphur Oxides,2380.047
2011,Australia,Sulphur Oxides,2507.875
2012,Australia,Sulphur Oxides,2519.087
2013,Australia,Sulphur Oxides,2414.101
2014,Australia,Sulphur Oxides,2499.419
2015,Australia,Sulphur Oxides,2385.87
2016,Australia,Sulphur Oxides,2464.911
2017,Australia,Sulphur Oxides,2288.491
2000,Australia,Nitrogen Oxides,1875.864
2001,Australia,Nitrogen Oxides,1959.907
2002,Australia,Nitrogen Oxides,2039.96
2003,Australia,Nitrogen Oxides,2121.206
2004,Australia,Nitrogen Oxides,2174.572
2005,Australia,Nitrogen Oxides,2194.335
2006,Australia,Nitrogen Oxides,2204.751
2007,Australia,Nitrogen Oxides,2223.923
2008,Australia,Nitrogen Oxides,2277.338
2009,Australia,Nitrogen Oxides,2247.099
2010,Australia,Nitrogen Oxides,2335.617
2011,Australia,Nitrogen Oxides,2282.374
2012,Australia,Nitrogen Oxides,2433.314
2013,Australia,Nitrogen Oxides,2503.427
2014,Australia,Nitrogen Oxides,2523.771
2015,Australia,Nitrogen Oxides,2540.814
2016,Australia,Nitrogen Oxides,2596.175
2017,Australia,Nitrogen Oxides,2665.386
2000,Australia,Carbon Monoxide,5387.306
2001,Australia,Carbon Monoxide,5121.711
2002,Australia,Carbon Monoxide,4985.813
2003,Australia,Carbon Monoxide,4499.161
2004,Australia,Carbon Monoxide,4593.24
2005,Australia,Carbon Monoxide,3973.013
2006,Australia,Carbon Monoxide,3944.595
2007,Australia,Carbon Monoxide,3382.893
2008,Australia,Carbon Monoxide,3226.74
2009,Australia,Carbon Monoxide,3158.219
2010,Australia,Carbon Monoxide,2994.791
2011,Australia,Carbon Monoxide,2939.839
2012,Australia,Carbon Monoxide,2902.792
2013,Australia,Carbon Monoxide,2838.238
2014,Australia,Carbon Monoxide,2768.896
2015,Australia,Carbon Monoxide,2721.381
2016,Australia,Carbon Monoxide,2648.313
2017,Australia,Carbon Monoxide,2815.042
2000,Australia,Non-methane Volatile Organic Compounds,1264.924
2001,Australia,Non-methane Volatile Organic Compounds,1247.596
2002,Australia,Non-methane Volatile Organic Compounds,1269.871
2003,Australia,Non-methane Volatile Organic Compounds,1245.552
2004,Australia,Non-methane Volatile Organic Compounds,1253.829
2005,Australia,Non-methane Volatile Organic Compounds,1232.662
2006,Australia,Non-methane Volatile Organic Compounds,1242.832
2007,Australia,Non-methane Volatile Organic Compounds,1216.514
2008,Australia,Non-methane Volatile Organic Compounds,1217.135
2009,Australia,Non-methane Volatile Organic Compounds,1229.026
2010,Australia,Non-methane Volatile Organic Compounds,1232.184
2011,Australia,Non-methane Volatile Organic Compounds,1232.324
2012,Australia,Non-methane Volatile Organic Compounds,1241.5
2013,Australia,Non-methane Volatile Organic Compounds,1259.873
2014,Australia,Non-methane Volatile Organic Compounds,1293.856
2015,Australia,Non-methane Volatile Organic Compounds,1307.687
2016,Australia,Non-methane Volatile Organic Compounds,1308.345
2017,Australia,Non-methane Volatile Organic Compounds,1333.871
2000,Austria,Sulphur Oxides,31.577
2001,Austria,Sulphur Oxides,32.481
2002,Austria,Sulphur Oxides,31.497
2003,Austria,Sulphur Oxides,31.387
2004,Austria,Sulphur Oxides,26.904
2005,Austria,Sulphur Oxides,25.372
2006,Austria,Sulphur Oxides,26.203
2007,Austria,Sulphur Oxides,22.918
2008,Austria,Sulphur Oxides,19.878
2009,Austria,Sulphur Oxides,14.526
2010,Austria,Sulphur Oxides,15.764
2011,Austria,Sulphur Oxides,14.979
2012,Austria,Sulphur Oxides,14.476
2013,Austria,Sulphur Oxides,14.372
2014,Austria,Sulphur Oxides,14.521
2015,Austria,Sulphur Oxides,13.858
2016,Austria,Sulphur Oxides,13.43
2017,Austria,Sulphur Oxides,12.713
2000,Austria,Nitrogen Oxides,212.758
2001,Austria,Nitrogen Oxides,222.702
2002,Austria,Nitrogen Oxides,228.554
2003,Austria,Nitrogen Oxides,237.41
2004,Austria,Nitrogen Oxides,234.303
2005,Austria,Nitrogen Oxides,236.079
2006,Austria,Nitrogen Oxides,222.909
2007,Austria,Nitrogen Oxides,212.614
2008,Austria,Nitrogen Oxides,196.78
2009,Austria,Nitrogen Oxides,182.022
2010,Austria,Nitrogen Oxides,181.491
2011,Austria,Nitrogen Oxides,171.711
2012,Austria,Nitrogen Oxides,166.319
2013,Austria,Nitrogen Oxides,167.027
2014,Austria,Nitrogen Oxides,158.415
2015,Austria,Nitrogen Oxides,154.582
2016,Austria,Nitrogen Oxides,149.461
2017,Austria,Nitrogen Oxides,142.834
2000,Austria,Particulates (PM10),38.213
2001,Austria,Particulates (PM10),38.219
2002,Austria,Particulates (PM10),37.163
2003,Austria,Particulates (PM10),36.99
2004,Austria,Particulates (PM10),36.708
2005,Austria,Particulates (PM10),35.061
2006,Austria,Particulates (PM10),33.776
2007,Austria,Particulates (PM10),32.58
2008,Austria,Particulates (PM10),32.29
2009,Austria,Particulates (PM10),30.607
2010,Austria,Particulates (PM10),31.23
2011,Austria,Particulates (PM10),30.326
2012,Austria,Particulates (PM10),29.612
2013,Austria,Particulates (PM10),30.234
2014,Austria,Particulates (PM10),28.46
2015,Austria,Particulates (PM10),28.226
2016,Austria,Particulates (PM10),27.852
2017,Austria,Particulates (PM10),27.804
2000,Austria,Particulates (PM2.5),24.428
2001,Austria,Particulates (PM2.5),24.713
2002,Austria,Particulates (PM2.5),23.886
2003,Austria,Particulates (PM2.5),23.778
2004,Austria,Particulates (PM2.5),23.273
2005,Austria,Particulates (PM2.5),21.979
2006,Austria,Particulates (PM2.5),21.199
2007,Austria,Particulates (PM2.5),20.176
2008,Austria,Particulates (PM2.5),19.49
2009,Austria,Particulates (PM2.5),18.396
2010,Austria,Particulates (PM2.5),19.037
2011,Austria,Particulates (PM2.5),17.876
2012,Austria,Particulates (PM2.5),17.385
2013,Austria,Particulates (PM2.5),17.976
2014,Austria,Particulates (PM2.5),16.143
2015,Austria,Particulates (PM2.5),16.086
2016,Austria,Particulates (PM2.5),15.733
2017,Austria,Particulates (PM2.5),15.474
2000,Austria,Carbon Monoxide,728.242
2001,Austria,Carbon Monoxide,708.173
2002,Austria,Carbon Monoxide,683.222
2003,Austria,Carbon Monoxide,691.091
2004,Austria,Carbon Monoxide,680.747
2005,Austria,Carbon Monoxide,616.616
2006,Austria,Carbon Monoxide,608.234
2007,Austria,Carbon Monoxide,577.364
2008,Austria,Carbon Monoxide,555.574
2009,Austria,Carbon Monoxide,536.446
2010,Austria,Carbon Monoxide,551.322
2011,Austria,Carbon Monoxide,522.927
2012,Austria,Carbon Monoxide,523.556
2013,Austria,Carbon Monoxide,564.124
2014,Austria,Carbon Monoxide,520.08
2015,Austria,Carbon Monoxide,537.598
2016,Austria,Carbon Monoxide,533.332
2017,Austria,Carbon Monoxide,527.241
2000,Austria,Non-methane Volatile Organic Compounds,179.14
2001,Austria,Non-methane Volatile Organic Compounds,174.262
2002,Austria,Non-methane Volatile Organic Compounds,169.613
2003,Austria,Non-methane Volatile Organic Compounds,167.559
2004,Austria,Non-methane Volatile Organic Compounds,155.129
2005,Austria,Non-methane Volatile Organic Compounds,155.603
2006,Austria,Non-methane Volatile Organic Compounds,158.247
2007,Austria,Non-methane Volatile Organic Compounds,153.86
2008,Austria,Non-methane Volatile Organic Compounds,148.783
2009,Austria,Non-methane Volatile Organic Compounds,135.513
2010,Austria,Non-methane Volatile Organic Compounds,136.692
2011,Austria,Non-methane Volatile Organic Compounds,130.814
2012,Austria,Non-methane Volatile Organic Compounds,128.122
2013,Austria,Non-methane Volatile Organic Compounds,132.795
2014,Austria,Non-methane Volatile Organic Compounds,119.901
2015,Austria,Non-methane Volatile Organic Compounds,123.597
2016,Austria,Non-methane Volatile Organic Compounds,122.087
2017,Austria,Non-methane Volatile Organic Compounds,119.978
2000,Belgium,Sulphur Oxides,171.106
2001,Belgium,Sulphur Oxides,165.689
2002,Belgium,Sulphur Oxides,156.466
2003,Belgium,Sulphur Oxides,151.025
2004,Belgium,Sulphur Oxides,154.122
2005,Belgium,Sulphur Oxides,141.478
2006,Belgium,Sulphur Oxides,132.608
2007,Belgium,Sulphur Oxides,122.784
2008,Belgium,Sulphur Oxides,94.638
2009,Belgium,Sulphur Oxides,72.937
2010,Belgium,Sulphur Oxides,59.438
2011,Belgium,Sulphur Oxides,52.308
2012,Belgium,Sulphur Oxides,46.928
2013,Belgium,Sulphur Oxides,42.666
2014,Belgium,Sulphur Oxides,40.088
2015,Belgium,Sulphur Oxides,40.49
2016,Belgium,Sulphur Oxides,39.051
2017,Belgium,Sulphur Oxides,37.354
2000,Belgium,Nitrogen Oxides,339.641
2001,Belgium,Nitrogen Oxides,330.187
2002,Belgium,Nitrogen Oxides,318.404
2003,Belgium,Nitrogen Oxides,316.462
2004,Belgium,Nitrogen Oxides,328.547
2005,Belgium,Nitrogen Oxides,314.184
2006,Belgium,Nitrogen Oxides,300.109
2007,Belgium,Nitrogen Oxides,290.794
2008,Belgium,Nitrogen Oxides,263.98
2009,Belgium,Nitrogen Oxides,237.21
2010,Belgium,Nitrogen Oxides,241.099
2011,Belgium,Nitrogen Oxides,224.085
2012,Belgium,Nitrogen Oxides,210.864
2013,Belgium,Nitrogen Oxides,202.899
2014,Belgium,Nitrogen Oxides,193.571
2015,Belgium,Nitrogen Oxides,193.136
2016,Belgium,Nitrogen Oxides,181.931
2017,Belgium,Nitrogen Oxides,171.573
2000,Belgium,Particulates (PM10),55.248
2001,Belgium,Particulates (PM10),52.928
2002,Belgium,Particulates (PM10),50.974
2003,Belgium,Particulates (PM10),51.46
2004,Belgium,Particulates (PM10),50.815
2005,Belgium,Particulates (PM10),46.856
2006,Belgium,Particulates (PM10),47.774
2007,Belgium,Particulates (PM10),45.126
2008,Belgium,Particulates (PM10),44.215
2009,Belgium,Particulates (PM10),39.21
2010,Belgium,Particulates (PM10),42.058
2011,Belgium,Particulates (PM10),34.889
2012,Belgium,Particulates (PM10),36.503
2013,Belgium,Particulates (PM10),38.394
2014,Belgium,Particulates (PM10),31.602
2015,Belgium,Particulates (PM10),33.853
2016,Belgium,Particulates (PM10),34.971
2017,Belgium,Particulates (PM10),33.314
2000,Belgium,Particulates (PM2.5),40.462
2001,Belgium,Particulates (PM2.5),38.406
2002,Belgium,Particulates (PM2.5),37.083
2003,Belgium,Particulates (PM2.5),37.269
2004,Belgium,Particulates (PM2.5),37.127
2005,Belgium,Particulates (PM2.5),34.875
2006,Belgium,Particulates (PM2.5),35.988
2007,Belgium,Particulates (PM2.5),34.363
2008,Belgium,Particulates (PM2.5),33.614
2009,Belgium,Particulates (PM2.5),29.99
2010,Belgium,Particulates (PM2.5),32.54
2011,Belgium,Particulates (PM2.5),25.794
2012,Belgium,Particulates (PM2.5),27.291
2013,Belgium,Particulates (PM2.5),28.805
2014,Belgium,Particulates (PM2.5),22.336
2015,Belgium,Particulates (PM2.5),24.35
2016,Belgium,Particulates (PM2.5),24.968
2017,Belgium,Particulates (PM2.5),23.002
2000,Belgium,Carbon Monoxide,925.599
2001,Belgium,Carbon Monoxide,877.621
2002,Belgium,Carbon Monoxide,863.111
2003,Belgium,Carbon Monoxide,837.382
2004,Belgium,Carbon Monoxide,798.857
2005,Belgium,Carbon Monoxide,752.186
2006,Belgium,Carbon Monoxide,697.352
2007,Belgium,Carbon Monoxide,652.335
2008,Belgium,Carbon Monoxide,653.068
2009,Belgium,Carbon Monoxide,426.566
2010,Belgium,Carbon Monoxide,496.185
2011,Belgium,Carbon Monoxide,393.632
2012,Belgium,Carbon Monoxide,343.257
2013,Belgium,Carbon Monoxide,518.376
2014,Belgium,Carbon Monoxide,318.81
2015,Belgium,Carbon Monoxide,371.318
2016,Belgium,Carbon Monoxide,359.299
2017,Belgium,Carbon Monoxide,291.693
2000,Belgium,Non-methane Volatile Organic Compounds,212.082
2001,Belgium,Non-methane Volatile Organic Compounds,208.108
2002,Belgium,Non-methane Volatile Organic Compounds,193.919
2003,Belgium,Non-methane Volatile Organic Compounds,185.573
2004,Belgium,Non-methane Volatile Organic Compounds,175.437
2005,Belgium,Non-methane Volatile Organic Compounds,171.56
2006,Belgium,Non-methane Volatile Organic Compounds,166.486
2007,Belgium,Non-methane Volatile Organic Compounds,157.64
2008,Belgium,Non-methane Volatile Organic Compounds,150.221
2009,Belgium,Non-methane Volatile Organic Compounds,138.247
2010,Belgium,Non-methane Volatile Organic Compounds,138.086
2011,Belgium,Non-methane Volatile Organic Compounds,126.197
2012,Belgium,Non-methane Volatile Organic Compounds,123.213
2013,Belgium,Non-methane Volatile Organic Compounds,120.187
2014,Belgium,Non-methane Volatile Organic Compounds,113.34
2015,Belgium,Non-methane Volatile Organic Compounds,110.938
2016,Belgium,Non-methane Volatile Organic Compounds,110.315
2017,Belgium,Non-methane Volatile Organic Compounds,108.859
2000,Canada,Sulphur Oxides,2397.202
2001,Canada,Sulphur Oxides,2376.277
2002,Canada,Sulphur Oxides,2325.438
2003,Canada,Sulphur Oxides,2257.642
2004,Canada,Sulphur Oxides,2269.361
2005,Canada,Sulphur Oxides,2152.892
2006,Canada,Sulphur Oxides,1950.223
2007,Canada,Sulphur Oxides,1899.942
2008,Canada,Sulphur Oxides,1719.818
2009,Canada,Sulphur Oxides,1465.024
2010,Canada,Sulphur Oxides,1351.987
2011,Canada,Sulphur Oxides,1265.502
2012,Canada,Sulphur Oxides,1252.06
2013,Canada,Sulphur Oxides,1239.862
2014,Canada,Sulphur Oxides,1194.543
2015,Canada,Sulphur Oxides,1060.376
2016,Canada,Sulphur Oxides,1043.361
2017,Canada,Sulphur Oxides,949.403
2000,Canada,Nitrogen Oxides,2877.367
2001,Canada,Nitrogen Oxides,2746.197
2002,Canada,Nitrogen Oxides,2688.191
2003,Canada,Nitrogen Oxides,2647.764
2004,Canada,Nitrogen Oxides,2512.644
2005,Canada,Nitrogen Oxides,2418.145
2006,Canada,Nitrogen Oxides,2276.217
2007,Canada,Nitrogen Oxides,2269.79
2008,Canada,Nitrogen Oxides,2198.401
2009,Canada,Nitrogen Oxides,2074.083
2010,Canada,Nitrogen Oxides,2087.083
2011,Canada,Nitrogen Oxides,2033.729
2012,Canada,Nitrogen Oxides,1926.671
2013,Canada,Nitrogen Oxides,1878.971
2014,Canada,Nitrogen Oxides,1836.004
2015,Canada,Nitrogen Oxides,1767.375
2016,Canada,Nitrogen Oxides,1710.236
2017,Canada,Nitrogen Oxides,1727.59
2000,Canada,Particulates (PM10),6236.78
2001,Canada,Particulates (PM10),6243.27
2002,Canada,Particulates (PM10),6059.074
2003,Canada,Particulates (PM10),6036.287
2004,Canada,Particulates (PM10),5975.454
2005,Canada,Particulates (PM10),5980.241
2006,Canada,Particulates (PM10),6144.312
2007,Canada,Particulates (PM10),6506.966
2008,Canada,Particulates (PM10),6857.526
2009,Canada,Particulates (PM10),6276.582
2010,Canada,Particulates (PM10),6725.29
2011,Canada,Particulates (PM10),6923.382
2012,Canada,Particulates (PM10),7426.188
2013,Canada,Particulates (PM10),7400.078
2014,Canada,Particulates (PM10),7432.798
2015,Canada,Particulates (PM10),7441.422
2016,Canada,Particulates (PM10),7455.478
2017,Canada,Particulates (PM10),7499.258
2000,Canada,Particulates (PM2.5),1679.626
2001,Canada,Particulates (PM2.5),1634.344
2002,Canada,Particulates (PM2.5),1588.935
2003,Canada,Particulates (PM2.5),1556.617
2004,Canada,Particulates (PM2.5),1514.51
2005,Canada,Particulates (PM2.5),1495.447
2006,Canada,Particulates (PM2.5),1492.973
2007,Canada,Particulates (PM2.5),1550.216
2008,Canada,Particulates (PM2.5),1614.469
2009,Canada,Particulates (PM2.5),1478.966
2010,Canada,Particulates (PM2.5),1565.619
2011,Canada,Particulates (PM2.5),1592.1
2012,Canada,Particulates (PM2.5),1685.584
2013,Canada,Particulates (PM2.5),1677.897
2014,Canada,Particulates (PM2.5),1685.691
2015,Canada,Particulates (PM2.5),1674.439
2016,Canada,Particulates (PM2.5),1670.445
2017,Canada,Particulates (PM2.5),1673.524
2000,Canada,Carbon Monoxide,10850.05
2001,Canada,Carbon Monoxide,10008.69
2002,Canada,Carbon Monoxide,9819.604
2003,Canada,Carbon Monoxide,9500.119
2004,Canada,Carbon Monoxide,8945.681
2005,Canada,Carbon Monoxide,7963.997
2006,Canada,Carbon Monoxide,7462.758
2007,Canada,Carbon Monoxide,7296.66
2008,Canada,Carbon Monoxide,7102.399
2009,Canada,Carbon Monoxide,6741.941
2010,Canada,Carbon Monoxide,6665.003
2011,Canada,Carbon Monoxide,6231.994
2012,Canada,Carbon Monoxide,6020.714
2013,Canada,Carbon Monoxide,5916.666
2014,Canada,Carbon Monoxide,5809.794
2015,Canada,Carbon Monoxide,5717.083
2016,Canada,Carbon Monoxide,5668.635
2017,Canada,Carbon Monoxide,5655.203
2000,Canada,Non-methane Volatile Organic Compounds,2838.468
2001,Canada,Non-methane Volatile Organic Compounds,2608.223
2002,Canada,Non-methane Volatile Organic Compounds,2610.098
2003,Canada,Non-methane Volatile Organic Compounds,2520.83
2004,Canada,Non-methane Volatile Organic Compounds,2474.18
2005,Canada,Non-methane Volatile Organic Compounds,2337.875
2006,Canada,Non-methane Volatile Organic Compounds,2232.518
2007,Canada,Non-methane Volatile Organic Compounds,2193.635
2008,Canada,Non-methane Volatile Organic Compounds,2162.267
2009,Canada,Non-methane Volatile Organic Compounds,2007.889
2010,Canada,Non-methane Volatile Organic Compounds,2018.397
2011,Canada,Non-methane Volatile Organic Compounds,1879.816
2012,Canada,Non-methane Volatile Organic Compounds,1900.118
2013,Canada,Non-methane Volatile Organic Compounds,1931.74
2014,Canada,Non-methane Volatile Organic Compounds,1949.745
2015,Canada,Non-methane Volatile Organic Compounds,1893.17
2016,Canada,Non-methane Volatile Organic Compounds,1804.203
2017,Canada,Non-methane Volatile Organic Compounds,1808.645
2000,Czech Republic,Sulphur Oxides,232.988
2001,Czech Republic,Sulphur Oxides,228.693
2002,Czech Republic,Sulphur Oxides,223.398
2003,Czech Republic,Sulphur Oxides,218.38
2004,Czech Republic,Sulphur Oxides,215.094
2005,Czech Republic,Sulphur Oxides,208.444
2006,Czech Republic,Sulphur Oxides,206.74
2007,Czech Republic,Sulphur Oxides,212.03
2008,Czech Republic,Sulphur Oxides,170.068
2009,Czech Republic,Sulphur Oxides,168.736
2010,Czech Republic,Sulphur Oxides,163.844
2011,Czech Republic,Sulphur Oxides,167.583
2012,Czech Republic,Sulphur Oxides,160.176
2013,Czech Republic,Sulphur Oxides,145.225
2014,Czech Republic,Sulphur Oxides,134.484
2015,Czech Republic,Sulphur Oxides,129.367
2016,Czech Republic,Sulphur Oxides,115.125
2017,Czech Republic,Sulphur Oxides,109.952
2000,Czech Republic,Nitrogen Oxides,279.839
2001,Czech Republic,Nitrogen Oxides,283.859
2002,Czech Republic,Nitrogen Oxides,277.881
2003,Czech Republic,Nitrogen Oxides,279.781
2004,Czech Republic,Nitrogen Oxides,280.454
2005,Czech Republic,Nitrogen Oxides,275.891
2006,Czech Republic,Nitrogen Oxides,270.914
2007,Czech Republic,Nitrogen Oxides,268.718
2008,Czech Republic,Nitrogen Oxides,252.543
2009,Czech Republic,Nitrogen Oxides,238.097
2010,Czech Republic,Nitrogen Oxides,231.877
2011,Czech Republic,Nitrogen Oxides,219.508
2012,Czech Republic,Nitrogen Oxides,206.098
2013,Czech Republic,Nitrogen Oxides,190.571
2014,Czech Republic,Nitrogen Oxides,184.022
2015,Czech Republic,Nitrogen Oxides,175.843
2016,Czech Republic,Nitrogen Oxides,166.475
2017,Czech Republic,Nitrogen Oxides,162.64
2000,Czech Republic,Particulates (PM10),65.668
2001,Czech Republic,Particulates (PM10),65.678
2002,Czech Republic,Particulates (PM10),61.191
2003,Czech Republic,Particulates (PM10),61.011
2004,Czech Republic,Particulates (PM10),60.693
2005,Czech Republic,Particulates (PM10),57.601
2006,Czech Republic,Particulates (PM10),58.84
2007,Czech Republic,Particulates (PM10),57.089
2008,Czech Republic,Particulates (PM10),55.182
2009,Czech Republic,Particulates (PM10),54.634
2010,Czech Republic,Particulates (PM10),57.297
2011,Czech Republic,Particulates (PM10),55.202
2012,Czech Republic,Particulates (PM10),55.159
2013,Czech Republic,Particulates (PM10),55.268
2014,Czech Republic,Particulates (PM10),52.44
2015,Czech Republic,Particulates (PM10),51.928
2016,Czech Republic,Particulates (PM10),50.33
2017,Czech Republic,Particulates (PM10),51.275
2000,Czech Republic,Particulates (PM2.5),49.076
2001,Czech Republic,Particulates (PM2.5),50.01
2002,Czech Republic,Particulates (PM2.5),46.659
2003,Czech Republic,Particulates (PM2.5),46.746
2004,Czech Republic,Particulates (PM2.5),46.396
2005,Czech Republic,Particulates (PM2.5),42.956
2006,Czech Republic,Particulates (PM2.5),44.111
2007,Czech Republic,Particulates (PM2.5),41.98
2008,Czech Republic,Particulates (PM2.5),40.798
2009,Czech Republic,Particulates (PM2.5),41.643
2010,Czech Republic,Particulates (PM2.5),44.72
2011,Czech Republic,Particulates (PM2.5),42.974
2012,Czech Republic,Particulates (PM2.5),43.152
2013,Czech Republic,Particulates (PM2.5),43.513
2014,Czech Republic,Particulates (PM2.5),40.875
2015,Czech Republic,Particulates (PM2.5),40.369
2016,Czech Republic,Particulates (PM2.5),39.071
2017,Czech Republic,Particulates (PM2.5),39.935
2000,Czech Republic,Carbon Monoxide,1074.659
2001,Czech Republic,Carbon Monoxide,1058.399
2002,Czech Republic,Carbon Monoxide,1018.176
2003,Czech Republic,Carbon Monoxide,1033.116
2004,Czech Republic,Carbon Monoxide,1020.585
2005,Czech Republic,Carbon Monoxide,934.463
2006,Czech Republic,Carbon Monoxide,939.082
2007,Czech Republic,Carbon Monoxide,938.758
2008,Czech Republic,Carbon Monoxide,885.632
2009,Czech Republic,Carbon Monoxide,903.316
2010,Czech Republic,Carbon Monoxide,926.715
2011,Czech Republic,Carbon Monoxide,896.528
2012,Czech Republic,Carbon Monoxide,882.706
2013,Czech Republic,Carbon Monoxide,883.089
2014,Czech Republic,Carbon Monoxide,843.176
2015,Czech Republic,Carbon Monoxide,825.654
2016,Czech Republic,Carbon Monoxide,820.002
2017,Czech Republic,Carbon Monoxide,818.982
2000,Czech Republic,Non-methane Volatile Organic Compounds,287.281
2001,Czech Republic,Non-methane Volatile Organic Compounds,278.936
2002,Czech Republic,Non-methane Volatile Organic Compounds,276.71
2003,Czech Republic,Non-methane Volatile Organic Compounds,272.452
2004,Czech Republic,Non-methane Volatile Organic Compounds,262.772
2005,Czech Republic,Non-methane Volatile Organic Compounds,252.278
2006,Czech Republic,Non-methane Volatile Organic Compounds,253.684
2007,Czech Republic,Non-methane Volatile Organic Compounds,247.428
2008,Czech Republic,Non-methane Volatile Organic Compounds,242.644
2009,Czech Republic,Non-methane Volatile Organic Compounds,243.047
2010,Czech Republic,Non-methane Volatile Organic Compounds,240.506
2011,Czech Republic,Non-methane Volatile Organic Compounds,229.576
2012,Czech Republic,Non-methane Volatile Organic Compounds,224.086
2013,Czech Republic,Non-methane Volatile Organic Compounds,220.568
2014,Czech Republic,Non-methane Volatile Organic Compounds,213.933
2015,Czech Republic,Non-methane Volatile Organic Compounds,211.619
2016,Czech Republic,Non-methane Volatile Organic Compounds,206.671
2017,Czech Republic,Non-methane Volatile Organic Compounds,207.328
2000,Denmark,Sulphur Oxides,32.369
2001,Denmark,Sulphur Oxides,29.749
2002,Denmark,Sulphur Oxides,28.317
2003,Denmark,Sulphur Oxides,35.178
2004,Denmark,Sulphur Oxides,28.635
2005,Denmark,Sulphur Oxides,26.151
2006,Denmark,Sulphur Oxides,30.194
2007,Denmark,Sulphur Oxides,27.196
2008,Denmark,Sulphur Oxides,21.029
2009,Denmark,Sulphur Oxides,15.464
2010,Denmark,Sulphur Oxides,15.325
2011,Denmark,Sulphur Oxides,14.015
2012,Denmark,Sulphur Oxides,12.626
2013,Denmark,Sulphur Oxides,12.641
2014,Denmark,Sulphur Oxides,10.493
2015,Denmark,Sulphur Oxides,9.657
2016,Denmark,Sulphur Oxides,9.971
2017,Denmark,Sulphur Oxides,10.188
2000,Denmark,Nitrogen Oxides,226.755
2001,Denmark,Nitrogen Oxides,224.071
2002,Denmark,Nitrogen Oxides,221.176
2003,Denmark,Nitrogen Oxides,229.597
2004,Denmark,Nitrogen Oxides,213.464
2005,Denmark,Nitrogen Oxides,204.896
2006,Denmark,Nitrogen Oxides,204.294
2007,Denmark,Nitrogen Oxides,189.881
2008,Denmark,Nitrogen Oxides,173.55
2009,Denmark,Nitrogen Oxides,154.567
2010,Denmark,Nitrogen Oxides,149.462
2011,Denmark,Nitrogen Oxides,140.032
2012,Denmark,Nitrogen Oxides,129.067
2013,Denmark,Nitrogen Oxides,124.27
2014,Denmark,Nitrogen Oxides,114.955
2015,Denmark,Nitrogen Oxides,113.604
2016,Denmark,Nitrogen Oxides,113.819
2017,Denmark,Nitrogen Oxides,110.974
2000,Denmark,Particulates (PM10),35.905
2001,Denmark,Particulates (PM10),36.318
2002,Denmark,Particulates (PM10),34.305
2003,Denmark,Particulates (PM10),35.916
2004,Denmark,Particulates (PM10),36.226
2005,Denmark,Particulates (PM10),37.25
2006,Denmark,Particulates (PM10),38.46
2007,Denmark,Particulates (PM10),41.378
2008,Denmark,Particulates (PM10),39.03
2009,Denmark,Particulates (PM10),36.075
2010,Denmark,Particulates (PM10),36.152
2011,Denmark,Particulates (PM10),33.566
2012,Denmark,Particulates (PM10),32.245
2013,Denmark,Particulates (PM10),31.745
2014,Denmark,Particulates (PM10),30.014
2015,Denmark,Particulates (PM10),31.297
2016,Denmark,Particulates (PM10),31.259
2017,Denmark,Particulates (PM10),31.051
2000,Denmark,Particulates (PM2.5),23.652
2001,Denmark,Particulates (PM2.5),23.914
2002,Denmark,Particulates (PM2.5),23.193
2003,Denmark,Particulates (PM2.5),24.644
2004,Denmark,Particulates (PM2.5),24.722
2005,Denmark,Particulates (PM2.5),25.612
2006,Denmark,Particulates (PM2.5),26.285
2007,Denmark,Particulates (PM2.5),29.151
2008,Denmark,Particulates (PM2.5),27.126
2009,Denmark,Particulates (PM2.5),24.997
2010,Denmark,Particulates (PM2.5),25.038
2011,Denmark,Particulates (PM2.5),22.619
2012,Denmark,Particulates (PM2.5),21.425
2013,Denmark,Particulates (PM2.5),21.162
2014,Denmark,Particulates (PM2.5),19.303
2015,Denmark,Particulates (PM2.5),20.605
2016,Denmark,Particulates (PM2.5),20.525
2017,Denmark,Particulates (PM2.5),20.054
2000,Denmark,Carbon Monoxide,464.718
2001,Denmark,Carbon Monoxide,454.859
2002,Denmark,Carbon Monoxide,431.66
2003,Denmark,Carbon Monoxide,433.753
2004,Denmark,Carbon Monoxide,416.951
2005,Denmark,Carbon Monoxide,417.581
2006,Denmark,Carbon Monoxide,404.916
2007,Denmark,Carbon Monoxide,407.67
2008,Denmark,Carbon Monoxide,386.144
2009,Denmark,Carbon Monoxide,353.504
2010,Denmark,Carbon Monoxide,345.822
2011,Denmark,Carbon Monoxide,304.398
2012,Denmark,Carbon Monoxide,286.673
2013,Denmark,Carbon Monoxide,272.656
2014,Denmark,Carbon Monoxide,249.073
2015,Denmark,Carbon Monoxide,253.252
2016,Denmark,Carbon Monoxide,243.284
2017,Denmark,Carbon Monoxide,240.575
2000,Denmark,Non-methane Volatile Organic Compounds,169.199
2001,Denmark,Non-methane Volatile Organic Compounds,161.027
